SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total geral;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;;; 1 ;;; 4 ;; 2 ; 4 ; 1 ; 2 ; 1 ;;; 1 ;;;;; 17 ;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;; 2 ;;;;;;; 2 ; 2 ;;; 5 ;;;;;;;; 11 ;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;; 2 ;; 2 ; 3 ;;; 1 ; 2 ;; 2 ; 2 ; 1 ; 5 ; 1 ;;;;;; 22 ;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;;; 1 ;; 1 ;;;;;;;; 1 ;;;;; 4 ;609071.78;7806810.24
10004;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;;;;;;;;;;;;;;;; 1 ;; 1 ;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;; 2 ; 2 ;;;; 1 ;; 2 ;;;; 3 ;;;;;;; 12 ;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;;; 1 ; 1 ; 10 ; 4 ; 1 ; 2 ;; 4 ; 1 ; 9 ; 3 ;; 1 ;;;;; 38 ;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;; 4 ; 4 ; 14 ; 2 ; 2 ; 9 ; 6 ; 12 ; 7 ; 5 ; 6 ; 16 ; 13 ; 6 ; 1 ;;;;; 107 ;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;; 1 ; 2 ; 3 ; 5 ; 2 ; 12 ; 3 ; 3 ; 2 ; 4 ; 7 ; 2 ; 1 ;;;;;; 47 ;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;; 5 ; 15 ; 15 ; 6 ; 2 ; 6 ; 1 ; 6 ; 2 ; 3 ; 2 ; 2 ;; 1 ;;;;;; 66 ;609922.56;7805952.57
10009;719;4;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;; 3 ;;;;;;;;;;;;;;;;;; 3 ;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;; 1 ; 3 ;; 1 ;; 2 ; 6 ; 1 ;;; 4 ; 3 ; 2 ; 1 ; 2 ;;;;; 28 ;610099.28;7806093.81
10011;717;2;1;GENERAL CARLOS GUEDES, AVE;339;;;;;;; 2 ;;;;;;; 2 ;;;; 2 ;;;;;;; 6 ;610094.29;7806117.88
10011;717;4;1;GENERAL CARLOS GUEDES, AVE;339;;;;;;;;;;;;;;;;;;;;; 2 ;;;; 2 ;610094.29;7806117.88
10011;719;1;1;GENERAL CARLOS GUEDES, AVE;339;;;;; 2 ; 10 ; 34 ; 29 ; 14 ; 3 ; 5 ; 5 ; 18 ; 14 ; 12 ; 9 ; 16 ; 14 ; 6 ; 3 ;;;;; 196 ;610094.29;7806117.88
10011;719;4;1;GENERAL CARLOS GUEDES, AVE;339;;;;;; 9 ; 10 ;;;;;;;;;;;;;;;;;; 19 ;610094.29;7806117.88
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;; 3 ;; 7 ;;;; 1 ;;;;;;;;;; 10 ;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;; 5 ; 2 ;; 6 ; 7 ; 5 ; 2 ; 5 ;;; 2 ; 2 ; 1 ; 1 ;;;;;;; 38 ;610189.8;7806209.73
10012;719;2;1;GENERAL CARLOS GUEDES, AVE;519;;;; 3 ;;;;;;;;;;;;;;;;;;;;; 3 ;610189.8;7806209.73
10012;719;4;1;GENERAL CARLOS GUEDES, AVE;519;;;;;; 4 ; 13 ;;;;;;;;;;;;; 9 ;;;;; 26 ;610189.8;7806209.73
10012;719;5;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;;;;;;;;;;;;;; 12 ;; 5 ;; 17 ;610189.8;7806209.73
10014;717;2;1;GENERAL CARLOS GUEDES, AVE;760;;;;;;;;;;;;;;; 2 ;;;;;;;;;; 2 ;610318.99;7806462.93
10016;609;1;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;;;;;;; 1 ;;;; 1 ;608430.09;7808621.61
