SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;Total geral;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;4;2;2;;2;;3;8;;1;2;;;;;;;;;24;608912.57;7807026.94
10001;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;;;;;;;;;;;;;;;;1;;;;1;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;4;4;;1;;4;1;2;;;;;1;;;;;;;17;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;2;;;;;2;;;2;1;;;5;;;;;;;13;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;;1;;;;;;;;;;;;;;;;1;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;1;5;5;1;;;1;;2;3;;;;;;;;;;18;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;;4;4;2;1;7;;2;;3;7;7;4;2;5;;;;;46;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;7;7;7;2;5;2;11;8;2;5;10;15;11;9;3;;;;;105;609282.38;7806544.25
10007;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;;;;;;;;;;;;;;;;1;;;;1;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;1;;1;;;3;3;21;;2;4;7;3;4;;;;;;49;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;2;1;12;4;3;3;3;;4;;5;1;2;1;1;3;;;;;46;609922.56;7805952.57
10009;719;4;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;7;13;;;;;;;;;;;;;;2;;;;22;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;1;3;1;3;2;;1;5;1;2;3;3;5;4;;;;;;35;610099.28;7806093.81
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;;1;;2;;2;2;1;;;1;;;;;;;9;610189.8;7806209.73
