SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;1;;1;;;2;3;2;4;;2;2;1;;;;;;;18;608912.57;7807026.94
10001;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;;;;;;;;;;;;;;;;2;;;;2;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;;;;;;;;2;;;;;;4;;;;;;5;608946.24;7807002.38
10002;717;4;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;;;;;;;;;;;;;;;;2;;;;2;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;1;;1;;1;;2;2;;1;;;1;;;;;;;10;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;1;;;;;;;;;;;;;;;;;1;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;;;4;3;3;;4;;2;;2;2;3;;;;;;;21;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;2;4;1;1;;6;2;6;4;5;;9;6;;1;;;;;47;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;8;1;6;8;6;3;;6;;;13;3;10;7;;;;;;72;609282.38;7806544.25
10007;717;4;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;;;;;;;;;;;;;;;;2;;;;2;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;;1;1;1;;3;3;13;;;12;2;;;;;;;;36;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;5;4;15;11;7;3;;6;2;5;2;4;;;8;2;;;;;74;609922.56;7805952.57
10009;719;4;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;12;7;;;;;;;;;;;;;;;;;;19;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;;;1;3;;1;2;;2;2;3;3;3;7;;;;;;26;610099.28;7806093.81
10011;717;2;1;#N/D;#N/D;;;;;;3;;;;;;4;;5;;;5;;;;;;;;18;#N/D;#N/D
10011;719;4;1;#N/D;#N/D;;;;;;5;7;;;;;;;;;;;;;4;;;;;16;#N/D;#N/D
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;6;;;;2;;15;;;;;;;;;;;;23;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;;7;21;56;31;11;2;6;12;15;5;14;16;8;9;7;;;;;;219;610189.8;7806209.73
10012;719;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;4;;;;;;;;;;;;;;;;;;;;;4;610189.8;7806209.73
