SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0; 1 ; 2 ; 3 ; 4 ; 5 ; 6 ; 7 ; 8 ; 9 ; 10 ; 11 ; 12 ; 13 ; 14 ; 15 ; 16 ; 17 ; 18 ; 19 ; 20 ; 21 ; 22 ; 23 ;  Total geral  ;X;Y
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;; 4 ; 7 ; 12 ; 2 ;;;;;; 12 ;; 7 ;; 12 ;;;;;; 55 ;608946.24;7807002.38
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;; 5 ;; 1 ;;;;;;;;;;;;;;;; 5 ;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;;;;;;;;; 10 ;;;;; 12 ;;;;;; 22 ;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;;;;;;;;;;;; 4 ;; 5 ;;;;;; 9 ;609197.28;7806639.18
10006;717;5;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;;;;;;;;;;;;;;;;;; 2 ;; 2 ;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;;; 12 ;;;;;; 5 ;;;; 21 ;;;;;;; 38 ;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;;; 4 ;;;;;; 6 ;;;; 8 ;;;;;;; 17 ;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;; 42 ;;;;; 17 ; 22 ;; 11 ;;; 11 ; 7 ;;;;;; 111 ;609922.56;7805952.57
10009;719;5;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;;;;;;;;;;;;;;;; 7 ;;;; 7 ;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;;; 2 ;; 6 ;;;;;; 3 ; 1 ; 5 ;; 12 ;;;;; 30 ;610099.28;7806093.81
10010;719;5;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;;;;;;;;;;;;;;;;; 2 ;;; 2 ;610099.28;7806093.81
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;; 11 ;; 19 ; 17 ; 23 ;;;; 7 ;; 4 ;; 4 ; 4 ;;;;;; 90 ;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;; 19 ; 15 ;;;; 15 ;;;; 18 ; 17 ; 17 ;;;;;; 102 ;610189.8;7806209.73
10012;719;2;1;GENERAL CARLOS GUEDES, AVE;519;;;; 5 ;;;;;;;;;;;;;;;;;;;;; 5 ;610189.8;7806209.73
10012;719;4;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;; 40 ;;;;;;;;;;;;;; 3 ;;;; 43 ;610189.8;7806209.73
10012;719;5;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;;;;;;;;;;;;;;; 2 ;;; 2 ;610189.8;7806209.73
10014;717;2;1;GENERAL CARLOS GUEDES, AVE;760;;;;;;;;;;;;;;;;; 3 ; 1 ;;;;;;; 4 ;610318.99;7806462.93
10016;609;1;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;;;;; 1 ;;;;;; 1 ;608430.09;7808621.61
10016;609;3;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;;;; 12 ;;;;;;; 12 ;608430.09;7808621.61
10016;644;1;1;GONCALVES, RUA;57;;;;;;;;;;;; 11 ; 18 ;;;; 9 ;;;;;;;; 38 ;608430.09;7808621.61
10017;609;3;1;GONCALVES, RUA;68;;;;;;;;;;; 28 ;;;;;;;;;;;;;; 28 ;608397.08;7808619
10017;644;1;1;GONCALVES, RUA;68;;;;;;;;;;;;;;;;;;; 1 ;;;;;; 1 ;608397.08;7808619
10018;609;2;1;GONCALVES, RUA;255;;;;;;; 6 ;; 20 ;;;;;;;;;;;;;;;; 26 ;608204.7;7808520.43
10018;609;3;1;GONCALVES, RUA;255;;;;;;;;;;;;;;;; 11 ;;;;;;;;; 11 ;608204.7;7808520.43
10018;644;1;1;GONCALVES, RUA;255;;;;;;;; 19 ; 26 ;;;;;; 10 ;;; 3 ; 4 ;;;;;; 62 ;608204.7;7808520.43
10019;609;1;1;GONCALVES, RUA;260;;;;;;;;;;;;;;;;;; 10 ;;;;;;; 10 ;608177.29;7808518.42
10019;609;2;1;GONCALVES, RUA;260;;;;;;;; 9 ;;;;;;;;;;;;;;;;; 9 ;608177.29;7808518.42
10019;644;1;1;GONCALVES, RUA;260;;;;;;;;;;; 3 ; 2 ;;;;; 10 ;;;;;;;; 15 ;608177.29;7808518.42
10019;644;4;1;GONCALVES, RUA;260;;;;;;;;;;;;;;;;;;;;;;; 3 ;; 3 ;608177.29;7808518.42
10020;609;2;1;LEONTINO FRANCISCO ALVES, AVE;12;;;;;;;; 4 ;;;;;;;;;;;;;;;;; 4 ;609834.96;7810555.41
10020;631;2;1;LEONTINO FRANCISCO ALVES, AVE;12; 1 ;;;;;;;;;;;;;;;;;;;;;;;; 1 ;609834.96;7810555.41
10022;630;1;1;LEONTINO FRANCISCO ALVES, AVE;209;; 3 ;;;;;;;;;;;;;;;;;;;;;;; 3 ;609520.75;7810438.61
10022;637;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;;;;;; 17 ;;;;;; 16 ; 12 ;; 7 ;;;;; 52 ;609520.75;7810438.61
10022;637;4;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;; 34 ;;;;;;;;;;;;;;;;;;; 34 ;609520.75;7810438.61
10023;637;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;;;;; 1 ;;;;;;; 2 ; 3 ;;; 4 ; 5 ;; 1 ;; 16 ;609523.81;7810450.13
10024;630;1;1;LEONTINO FRANCISCO ALVES, AVE;275; 3 ;;;;;;;;;;;;;;;;;;;;;;;; 3 ;609347.98;7810379.95
10024;638;1;1;LEONTINO FRANCISCO ALVES, AVE;275;;;;;; 25 ;; 61 ;;;;;; 18 ; 11 ; 19 ; 6 ;; 9 ; 12 ; 11 ;;;; 172 ;609347.98;7810379.95
10027;638;1;1;LEONTINO FRANCISCO ALVES, AVE;489;;;;;; 29 ;;;;;;;;;;;;;;;;;;; 29 ;609098.08;7810295.17
