SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10001;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;122;;;;;;4;5;;;1;4;4;2;3;;;2;1;;;1;;;;26;608912.57;7807026.94
10002;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;159;;;;;;2;4;;2;;;2;2;;;;;2;;;;;;;14;608946.24;7807002.38
10003;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;1;1;;1;;;;;2;;1;2;2;;;;;;;10;609061.86;7806844.34
10003;717;4;1;GENERAL OLIMPIO MOURAO FILHO, AVE;317;;;;;;;;;;;;;;;;;;;;;2;;;;2;609061.86;7806844.34
10004;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;434;;;;;;;;;;;;;;;;;1;;1;;;;;;2;609071.78;7806810.24
10005;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;565;;;;;;;;3;2;1;;1;;;;2;;;;2;;;;;11;609195.9;7806661.41
10006;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;636;;;;;;2;2;5;;4;;4;8;3;3;3;5;1;3;;;;;;44;609197.28;7806639.18
10007;717;2;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;2;5;3;1;3;1;2;6;2;7;8;14;9;4;1;;;;;68;609282.38;7806544.25
10007;717;4;1;GENERAL OLIMPIO MOURAO FILHO, AVE;759;;;;;;;;;;;;;;;;;;;;;4;;;;4;609282.38;7806544.25
10008;719;1;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;1;1;1;1;;1;3;1;;1;2;3;;3;;;;;;20;609936.94;7805939
10008;719;5;1;GENERAL CARLOS GUEDES, AVE;88;;;;;;;;;;;;;;;;;;;;;1;;1;1;3;609936.94;7805939
10009;719;1;1;GENERAL CARLOS GUEDES, AVE;137;;;;;1;5;6;6;2;1;3;3;4;;4;1;3;3;2;3;;;;;47;609922.56;7805952.57
10009;719;4;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;7;6;;;;;;;;;;;;;1;;;;;14;609922.56;7805952.57
10009;719;5;1;GENERAL CARLOS GUEDES, AVE;137;;;;;;;;;;;;;;;;;;;;;1;4;;;5;609922.56;7805952.57
10010;719;1;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;1;1;1;1;;4;1;3;2;6;;6;3;2;;;;;;31;610099.28;7806093.81
10010;719;5;1;GENERAL CARLOS GUEDES, AVE;300;;;;;;;;;;;;;;;;;;;;;1;;;;1;610099.28;7806093.81
10012;717;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;;1;6;9;5;2;4;8;8;8;5;2;1;7;3;2;;;;;;72;610189.8;7806209.73
10012;719;1;1;GENERAL CARLOS GUEDES, AVE;519;;;;;6;20;48;35;14;3;9;5;29;8;7;4;9;11;11;5;;;;;224;610189.8;7806209.73
10012;719;2;1;GENERAL CARLOS GUEDES, AVE;519;;;;3;;;;;;;;;;;;;;;;;;;;;3;610189.8;7806209.73
10012;719;4;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;10;29;;;;;;;;;;;;;4;2;;;;45;610189.8;7806209.73
10012;719;5;1;GENERAL CARLOS GUEDES, AVE;519;;;;;;;;;;;;;;;;;;;;;;6;1;;7;610189.8;7806209.73
10016;609;1;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;;;;;;;;;;5;5;608430.09;7808621.61
10016;609;3;1;GONCALVES, RUA;57;;;;;;;;;;;;2;;;;1;1;;;;;;;;4;608430.09;7808621.61
10016;644;1;1;GONCALVES, RUA;57;;;;;3;7;7;11;7;5;1;8;1;5;3;;2;11;3;2;;;;;76;608430.09;7808621.61
10016;644;4;1;GONCALVES, RUA;57;;;;;;;;;;;;;;;;;;;;;;1;;;1;608430.09;7808621.61
10017;609;2;1;GONCALVES, RUA;68;;;;;;;;2;;;;;;;;;;;;;;;;;2;608397.08;7808619
10017;609;3;1;GONCALVES, RUA;68;;;;;;;;;;;;;3;;2;1;1;2;;;;;;;10;608397.08;7808619
10017;644;1;1;GONCALVES, RUA;68;;;;;;1;;;;2;;;;;2;;;;1;1;;;;;6;608397.08;7808619
10018;609;1;1;GONCALVES, RUA;255;;;;;;;;;;;;;;;;;;;1;;1;;;;2;608204.7;7808520.43
10018;609;2;1;GONCALVES, RUA;255;;;;;;;1;;4;;;;;;;;;;;;;;;;5;608204.7;7808520.43
10018;609;3;1;GONCALVES, RUA;255;;;;;;;;;;;1;;;;;1;1;;;;;;;;3;608204.7;7808520.43
10018;644;1;1;GONCALVES, RUA;255;;;;;3;10;18;13;9;5;2;4;8;2;8;3;1;2;1;;;;;;89;608204.7;7808520.43
10019;609;2;1;GONCALVES, RUA;260;;;;;;;;;1;;;;;;;;;;;;;;;;1;608177.29;7808518.42
10019;644;1;1;GONCALVES, RUA;260;;;;;;;1;;;;;1;;;;1;;1;;1;;;;;6;608177.29;7808518.42
10022;630;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;2;2;1;;;;;;;;;;;;;;;;;;;5;609520.75;7810438.61
10022;637;1;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;;;;3;1;;;;1;3;1;5;1;1;2;1;4;;;24;609520.75;7810438.61
10022;637;4;1;LEONTINO FRANCISCO ALVES, AVE;209;;;;;;11;11;3;;;;;;;;;;;;;;;;;25;609520.75;7810438.61
10023;631;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;3;2;2;;;;;;;;;;;;;;;;;;;7;609523.81;7810450.13
10023;637;1;1;LEONTINO FRANCISCO ALVES, AVE;210;;;;;;;;;;1;1;;;;;1;2;1;1;1;3;2;;;14;609523.81;7810450.13
10024;638;1;1;LEONTINO FRANCISCO ALVES, AVE;275;;;;;2;20;29;14;6;1;5;6;4;2;2;3;1;4;3;2;3;;;;107;609347.98;7810379.95
10026;631;1;1;LEONTINO FRANCISCO ALVES, AVE;472;;;;;5;5;;;;;;;;;;;;;;;;;;;10;609112.61;7810310.69
10026;631;2;1;LEONTINO FRANCISCO ALVES, AVE;472;;;;;3;;;;;;;;;;;;;;;;;;;;3;609112.61;7810310.69
10028;631;1;1;LEONTINO FRANCISCO ALVES, AVE;540;;;;;1;2;;;;;;;;;;;;;;;;;;;3;609347.49;7810390.29
10028;631;2;1;LEONTINO FRANCISCO ALVES, AVE;540;;;;;7;;;;;;;;;;;;;;;;;;;;7;609347.49;7810390.29
10029;631;1;1;LEONTINO FRANCISCO ALVES, AVE;642;;;;;2;1;;;;;;;;;;;;;;;;;;;3;608937.4;7810251.01
10030;3302B;2;1;JOAO MOREIRA DA ROCHA, RUA;21;;;;;1;;4;4;2;2;;;;;;2;3;;;;;;;;19;606536.48;7803065.94
10031;9503;1;2;CYRO VAZ DE MELO, RUA;240;;;;;;3;5;4;5;;7;1;3;6;4;1;5;2;;1;;;;;47;610269.49;7803710.12
10032;9503;1;2;CYRO VAZ DE MELO, RUA;536;;;;;;4;12;9;3;2;5;4;5;6;4;2;6;2;3;;1;;;;69;610506.22;7803616.24
10034;619;3;1;ALVARES DE AZEVEDO, RUA;66;;;;;;3;2;1;;;;;;;;1;;1;1;;2;;;;12;607823.72;7807736.22
10036;9501;1;2;IGINO BONFIOLI, RUA;47;;;;;;5;11;3;2;;;;2;4;1;;;1;1;;;;;;30;610001.78;7804146.41
10036;9501;7;2;IGINO BONFIOLI, RUA;47;;;;;;;2;3;2;;;;1;;;1;;;;;;;2;;13;610001.78;7804146.41
10039;9501;1;1;IGINO BONFIOLI, RUA;322;;;;;1;5;5;3;;;;;1;1;2;4;4;1;4;;;;5;;37;609787.18;7804312.65
10039;9501;7;1;IGINO BONFIOLI, RUA;322;;;;;;;5;;;;;2;;;;;;;;;;;;;7;609787.18;7804312.65
10041;4102;1;1;AMERICO VESPUCIO, AVE;365;;;;;;3;6;7;4;4;;1;4;1;4;2;1;2;2;;;;;;42;609422.83;7800548.61
10041;4205;1;1;AMERICO VESPUCIO, AVE;365;;;;;;1;10;9;1;4;5;4;2;3;;1;1;3;3;;;;;;49;609422.83;7800548.61
10041;504;1;1;AMERICO VESPUCIO, AVE;365;;;;;;3;10;10;3;5;1;7;2;2;5;1;8;12;3;1;;;;;72;609422.83;7800548.61
10042;4102;1;1;AMERICO VESPUCIO, AVE;435;;;;;;6;13;10;18;5;2;5;5;6;1;;4;2;2;3;;;;;82;609322.85;7800457.36
10042;4205;1;1;AMERICO VESPUCIO, AVE;435;;;;1;;2;6;9;7;4;5;4;2;3;5;6;;4;4;;1;;;;63;609322.85;7800457.36
10042;504;1;1;AMERICO VESPUCIO, AVE;435;;;;;2;3;;6;1;;3;1;2;2;6;;2;;;;;;;;28;609322.85;7800457.36
10043;4102;1;2;AMERICO VESPUCIO, AVE;560;;;;;;;;;;;;;;;;;;2;;;;;;;2;609289.63;7800454.46
10043;4205;1;2;AMERICO VESPUCIO, AVE;560;;;;;;;;;;;;;;;;;1;1;;;;;;;2;609289.63;7800454.46
10043;503;1;1;AMERICO VESPUCIO, AVE;560;;;;;;7;7;4;1;1;2;;1;;;2;7;4;;;2;;;;38;609289.63;7800454.46
10043;503;2;1;AMERICO VESPUCIO, AVE;560;;;;;;;;;;;;;;;;;;;;;;1;;;1;609289.63;7800454.46
10044;4102;1;2;AMERICO VESPUCIO, AVE;570;;;;;2;;;;7;;;3;2;2;;;;;1;1;;;;;18;609537.05;7800677.06
10044;4103;1;2;AMERICO VESPUCIO, AVE;570;;;;;;;;1;;;;;1;;;;;3;;;;;;;5;609537.05;7800677.06
10044;4103;6;1;AMERICO VESPUCIO, AVE;570;;;;;2;;3;;3;1;1;;;;;;;1;1;;;;;;12;609537.05;7800677.06
10044;4205;1;2;AMERICO VESPUCIO, AVE;570;;;;;;2;1;;;;;1;1;3;;1;1;;;;;2;;;14;609537.05;7800677.06
10044;503;1;1;AMERICO VESPUCIO, AVE;570;;;;;;3;10;6;1;;;3;7;2;;2;;1;4;;1;;;;41;609537.05;7800677.06
10045;4102;1;1;AMERICO VESPUCIO, AVE;759;;;;;;5;9;8;6;3;2;1;2;3;6;;3;1;2;;;;;;52;609175.57;7800243.68
10045;504;1;1;AMERICO VESPUCIO, AVE;759;;;;;1;3;6;3;;3;1;1;4;2;5;5;3;2;;;;;;;39;609175.57;7800243.68
10045;504;2;1;AMERICO VESPUCIO, AVE;759;;;;;;;;;;;;;;;;;;;;;;1;;;1;609175.57;7800243.68
10046;4102;1;2;AMERICO VESPUCIO, AVE;780;;;;;;1;;1;;6;1;5;;5;3;;2;3;3;;;3;;;33;609122.9;7800208.53
10046;503;1;1;AMERICO VESPUCIO, AVE;780;;;;;;1;15;5;1;1;;4;4;2;;1;2;;;3;1;;;;41;609122.9;7800208.53
10046;503;2;1;AMERICO VESPUCIO, AVE;780;;;;;;;;;;;;;;;;;;;;;1;;;1;2;609122.9;7800208.53
10047;4102;1;2;AMERICO VESPUCIO, AVE;1022;;;;;;;4;;7;4;3;3;2;;1;1;2;2;;;;;;;28;608976.35;7800040.41
10047;503;1;1;AMERICO VESPUCIO, AVE;1022;;;;;;;2;;;;;;;;;;;;;;;;;;2;608976.35;7800040.41
10048;4102;1;1;AMERICO VESPUCIO, AVE;1029;;;;;;4;6;8;6;4;9;2;4;1;2;5;1;5;4;2;;;;;63;608990.9;7800021.04
10048;504;1;1;AMERICO VESPUCIO, AVE;1029;;;;;6;9;12;7;4;;3;3;2;1;6;3;4;1;1;;;;;;62;608990.9;7800021.04
10049;4103;1;2;MARIA LUCIA PETIT, RUA;313;;;;;;;;;;;;;;;;;2;;;;;;;;2;606194.31;7808648.09
10049;640;1;1;MARIA LUCIA PETIT, RUA;313;;;;;1;3;5;1;1;;;;1;;;;;;;;;;;;13;606194.31;7808648.09
10050;504;1;1;AMERICO VESPUCIO, AVE;1271;;;;;;4;10;;3;2;5;3;5;3;3;4;11;18;3;3;3;;;;79;608808.33;7799724.18
