"SIU";"LINHA";"SUBLINHA";"PC";" Endereço do Ponto";" Nº Imóvel";"0";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15";"16";"17";"18";"19";"20";"21";"22";"23";" Total geral ";"X";"Y"
"10001";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"122";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;"608912.57";"7807026.94"
"10002";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"159";0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;8;"608946.24";"7807002.38"
"10003";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"317";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;6;"609061.86";"7806844.34"
"10004";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"434";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;"609071.78";"7806810.24"
"10005";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"565";0;0;0;0;0;0;2;2;0;0;0;3;0;1;1;5;0;1;0;0;0;0;0;0;15;"609195.9";"7806661.41"
"10006";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"636";0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;5;"609197.28";"7806639.18"
"10007";"717";"2";"1";"GENERAL OLIMPIO MOURAO FILHO, AVE";"759";0;0;0;0;0;0;0;1;0;0;0;5;4;1;1;0;0;6;3;2;0;0;0;0;23;"609282.38";"7806544.25"
"10008";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"88";0;0;0;0;0;2;3;1;0;0;4;4;2;5;4;5;1;5;1;0;0;0;0;0;37;"609936.94";"7805939"
"10009";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"137";0;0;0;0;2;1;7;3;0;1;1;0;2;3;4;0;9;3;1;0;0;0;0;0;37;"609922.56";"7805952.57"
"10010";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"300";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;5;"610099.28";"7806093.81"
"10012";"719";"1";"1";"GENERAL CARLOS GUEDES, AVE";"519";0;0;0;0;5;6;13;11;6;4;3;4;0;3;3;4;2;1;2;1;2;2;0;0;72;"610189.8";"7806209.73"
"10012";"717";"2";"1";"GENERAL CARLOS GUEDES, AVE";"519";0;0;0;0;0;0;0;0;4;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;9;"610189.8";"7806209.73"
"10016";"609";"3";"1";"GONCALVES, RUA";"57";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"608430.09";"7808621.61"
"10016";"644";"1";"1";"GONCALVES, RUA";"57";0;0;0;0;2;8;7;6;3;3;1;0;2;1;0;1;0;2;0;0;1;0;0;0;37;"608430.09";"7808621.61"
"10017";"609";"3";"1";"GONCALVES, RUA";"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;"608397.08";"7808619"
"10017";"644";"1";"1";"GONCALVES, RUA";"68";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;"608397.08";"7808619"
"10017";"609";"2";"1";"GONCALVES, RUA";"68";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"608397.08";"7808619"
"10018";"609";"2";"1";"GONCALVES, RUA";"255";0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"608204.7";"7808520.43"
"10018";"609";"3";"1";"GONCALVES, RUA";"255";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;"608204.7";"7808520.43"
"10018";"644";"1";"1";"GONCALVES, RUA";"255";0;0;0;0;5;5;10;3;1;3;1;0;2;0;0;0;2;2;0;0;0;0;0;0;34;"608204.7";"7808520.43"
"10019";"609";"2";"1";"GONCALVES, RUA";"260";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"608177.29";"7808518.42"
"10020";"641";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"12";0;0;0;0;0;0;3;0;0;0;4;4;0;0;0;4;0;1;0;0;0;0;0;0;16;"609834.96";"7810555.41"
"10020";"641";"3";"1";"LEONTINO FRANCISCO ALVES, AVE";"12";0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;48;"609834.96";"7810555.41"
"10020";"631";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"12";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"609834.96";"7810555.41"
"10022";"637";"4";"1";"LEONTINO FRANCISCO ALVES, AVE";"209";0;0;0;0;0;1;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;"609520.75";"7810438.61"
"10022";"637";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"209";0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0;6;"609520.75";"7810438.61"
"10023";"637";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"210";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;"609523.81";"7810450.13"
"10023";"631";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"210";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"609523.81";"7810450.13"
"10023";"631";"2";"1";"LEONTINO FRANCISCO ALVES, AVE";"210";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"609523.81";"7810450.13"
"10024";"638";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"275";0;0;0;0;0;0;8;0;2;0;0;0;0;0;1;0;0;3;0;0;0;1;0;0;15;"609347.98";"7810379.95"
"10026";"631";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"472";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"609112.61";"7810310.69"
"10026";"631";"2";"1";"LEONTINO FRANCISCO ALVES, AVE";"472";0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;"609112.61";"7810310.69"
"10027";"638";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"489";0;0;0;0;2;18;22;5;0;2;1;2;1;1;1;0;1;2;1;0;0;0;0;0;59;"609098.08";"7810295.17"
"10028";"631";"1";"1";"LEONTINO FRANCISCO ALVES, AVE";"540";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;"609347.49";"7810390.29"
"10029";"631";"2";"1";"LEONTINO FRANCISCO ALVES, AVE";"642";0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;"608937.4";"7810251.01"
