ID_REDE_PRIORIZACAO_ONIBUS;NOME_ROTA;SITUACAO;INFRAESTRUTURA_ATUAL;INFRAESTRUTURA_PLANEJADA;ANO_IMPLANT_INFRA_ATUAL;HORIZONTE_IMPLANTACAO;POSICIONAMENTO_VIA;SISTEMA_BRT;REFERENCIA_LOGRADOURO;EXTENSAO_REDE_PLANEJADA;TIPO_LOGRADOURO;NOME_LOGRADOURO;LOGRAD_INICIAL;LOGRAD_FINAL;GEOMETRIA;EXTENSAO_TRECHO
1882;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;36.915;RUA;PADRE EUSTAQUIO;RUA CORUMBA;RUA VIRGINIA;MULTILINESTRING ((609022.925109825 7797736.50433215, 608992.934974121 7797758.03994864));36.915
1883;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;26.968;RUA;PADRE EUSTAQUIO;TRV QUINHENTOS E QUARENTA E SETE;TRV QUINHENTOS E SETENTA E UM;MULTILINESTRING ((608980.401290791 7797766.76817203, 608958.21172379 7797782.09505229));26.968
1884;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;15.273;RUA;PADRE EUSTAQUIO;RUA VIRGINIA;TRV QUINHENTOS E QUARENTA E SETE;MULTILINESTRING ((608992.934974121 7797758.03994864, 608980.401290791 7797766.76817203));15.273
163;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;71.589;AVE;DOM PEDRO II;RUA TRES PONTAS;RUA RIO CASCA;MULTILINESTRING ((609403.173973689 7797856.82984024, 609371.031672624 7797920.79681995));71.589
1828;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;50.135;RUA;TRES PONTAS;AVE DOM PEDRO II;RUA RIO CASCA;MULTILINESTRING ((609403.173973689 7797856.82984024, 609354.935784558 7797870.48706035));50.135
166;ROTA PEDRO II;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;41.313;AVE;DOM PEDRO II;RUA TREMEDAL;RUA TRES PONTAS;MULTILINESTRING ((609421.61992738 7797819.86736384, 609403.173973689 7797856.82984024));41.313
1885;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;81.316;RUA;PADRE EUSTAQUIO;RUA MONTE SANTO;RUA BOM SUCESSO;MULTILINESTRING ((608431.343502499 7797927.32549105, 608352.232872324 7797908.519319));81.316
2032;ROTA NOROESTE;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;81.161;RUA;TRES PONTAS;RUA MONTE SANTO;RUA BOM SUCESSO;MULTILINESTRING ((608413.664412329 7797996.48141457, 608334.974320212 7797976.5654684));81.161
472;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;123.168;AVE;PRESIDENTE CARLOS LUZ;RUA SARGENTO ROBSON DA CRUZ;RUA ARGEMIRO RODRIGUES DA SILVA;MULTILINESTRING ((608375.362465574 7800076.02812886, 608360.734337793 7800124.46826901, 608347.400807566 7800149.23322817, 608332.789171474 7800165.7398683, 608314.574101424 7800178.77721458));123.168
473;ROTA CARLOS LUZ;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;130.997;AVE;PRESIDENTE CARLOS LUZ;ALA IPE ROXO;TRV IPE;MULTILINESTRING ((608158.340089548 7800332.46593169, 608146.144485835 7800363.86953958, 608125.183549634 7800415.30906921, 608105.5007193 7800452.14157206));130.997
