NumeroLinha;Linha;Nome
206;30-01;EST. DIAMANTE/CENTRO-DIRETA
256;31-01;JATOBA / HOSPITAIS
208;30-03;PARADORA VIA RUA DOS CAETÉS
258;31-03;JATOBA / HOSPITAIS
209;30-04;ESTACAO DIAMANTE/CENTRO
947;31-05;JATOBA / HOSPITAIS
210;30-06;ESTACAO DIAMANTE/CENTRO
211;30-07;ESTACAO DIAMANTE/CENTRO
212;30-08;ZOOLÓGICO
213;30-09;ESTACAO DIAMANTE/CENTRO
214;30-10;ESTACAO DIAMANTE/CENTRO
215;30-11;ESTACAO DIAMANTE/CENTRO
216;30-12;ESTACAO DIAMANTE/CENTRO
884;0000-01;LINHA APRESENTAÇÃO
783;007-01;ERMELINDA/BH SHOPPING
2;0100-01;BARREIRO
3;0100-02;BARREIRO
4;0100-03;BARREIRO
784;1000-01;ESTAÇÃO DIAMANTE
1200;1001-01;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1220;1001-02;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1221;1001-03;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1222;1001-04;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1223;1001-05;LINHA DE BLOQUEIO ESTAÇÃO DIAMANTE
1237;1001-06;LINHA BLOQUEIO ESTAÇÃO DIAMANTE ACESSO LOJAS
3515;1001-08;LINHA BLOQUEIO DIAMANTE DOMINGO
3514;1001-09;LINHA BLOQUEIO DIAMANTE DOMINGO
3516;1001-10;LINHA BLOQUEIO DIAMANTE DOMINGO
4642;1002-01;LINHA BLOQUEIO ESTAÇÃO DIAMANTE ACESSO LOJAS
989;1010-01;LINHA CARGA A BORDO 01
6;101-01;AGLOMERADO SANTA LUCIA
1192;1020-01;LINHA CARGA A BORDO 2
8;102-01;N.S.DE FATIMA/HOSP. EVANGELICO
1312;102-02;VIA AV CARDOSO
12;1030-01;AVENIDA
13;1030-05;AVENIDA
10;103-01;VILA CAFEZAL/RUA POUSO ALTO
870;104-01;ESTAÇÃO LAGOINHA / AVENIDA
6122;1050-01;CIRCULAR CENTRO NOTURNO NOS MUSEUS
1421;105-01;ESTAÇÃO CENTRAL/LOURDES
6428;105-02;ATENDIMENTO CARNAVAL
7778;105-03;DESVIO FEIRA AV.AFONSO PENA
1423;106-01;ESTAÇÃO CENTRAL / HOSPITAIS
2118;107-01;VILA MARÇOLA / RUA DO OURO
3555;108-01;TERMINAL BERNARDO MONTEIRO/HOSPITAIS
15;1115-01;FLAVIO MARQUES LISBOA
16;1115-02;FLAVIO MARQUES LISBOA
18;1120A-01;VALE DO JATOBA
20;1122A-01;CARDOSO A
21;1122A-05;CARDOSO A
23;1122B-01;CARDOSO B
25;1129A-01;MILIONARIOS/CIDADE INDUSTRIAL/NOVA SUICA A
27;1129B-01;MILIONARIOS/CIDADE INDUSTRIAL/NOVA SUICA B
29;1144A-01;INDEPENDENCIA
31;1144C-01;BAIRRO MINEIRAO
788;1144C-03;BAIRRO MINEIRAO
33;1145-01;BAIRRO DAS INDUSTRIAS
6247;1145-04;ATENDIMENTO CARNAVAL
35;1146A-01;CONJUNTO ANTONIO TEIXEIRA DIAS
37;1148A-01;MILIONARIOS
39;1148B-01;BONSUCESSO VIA MILIONARIOS
40;1148B-02;BONSUCESSO VIA MILIONARIOS
41;1148B-03;BONSUCESSO VIA MILIONARIOS
43;1170-01;SANTA LUCIA/MANGABEIRAS
6354;1170-02;ATENDIMENTO CARNAVAL
45;1207A-01;BETANIA/SANTA MONICA
