Nome_do_arquivo;tempo_real_convencional_xxx_ddmmaahhmmss.xxx
Descricao_do_arquivo;Última atualização da localização geográfica em tempo real dos veiculos do Sistema de Transporte Convencional
Data_da_criacao;data da consulta/download pelo usuário
Nome_do_campo;descricao_do_campo
EV;Código do evento. O evento 105 é um evento de posição
HR;Data/hora: ano (4 caracteres), mês (2 caracteres), dia (2 caracteres), hora (2 caracteres), minuto (2 caracteres), segundo (2 caracteres)
LT; Latitude em WGS84 fuso 23S
LG;Longitude em WGS84 fuso 23S
NV;Número de ordem do veículo
VL;Velocidade instantânea do veículo
NL;Código do número de linha (arquivo de conversão das linhas do sistema convencional)
DG;Direção do veículo
SV;Sentido do veículo em uma viagem ((1) ida, (2) volta)
DT;Distância percorrida
