EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20220708101443;-19,952706;-43,969791;30597;0;952;0;0;2409
105;20220708101448;-20,003090;-44,016937;30729;23;3999;299;1;13519
105;20220708101344;-19,924122;-43,896926;20465;0;610;0;1;30243
105;20220708101438;-19,967877;-43,981200;30890;0;1066;0;1;2740
105;20220708101413;-19,876439;-43,907057;11183;0;608;0;0;1205
105;20220708101140;-19,976166;-43,970574;20584;7;952;82;2;2681
105;20220708101418;-19,851763;-43,927152;20666;0;72;0;0;3690
105;20220708101447;-19,863869;-43,920988;20820;0;372;0;0;13595
105;20220708101442;-19,989894;-44,012488;30827;1;238;61;1;1311
105;20220708101415;-19,988219;-44,034898;31080;0;245;0;0;1721
105;20220708101444;-19,981428;-44,052479;30681;13;1319;356;1;7975
105;20220708101440;-19,923133;-43,944407;10801;8;4514;48;1;15201
105;20220708101443;-19,918793;-43,938158;40810;1;93;219;2;5071
105;20220708101443;-19,927100;-43,933861;40871;26;870;156;1;2490
105;20220708101352;-19,845876;-43,918435;20702;0;844;0;1;2663
105;20220708101438;-19,962969;-44,014155;30726;32;3995;44;1;2897
105;20220708101439;-19,911513;-44,022426;31012;12;2374;2;2;20120
105;20220708101445;-19,913951;-43,980715;40752;11;671;3;2;3281
105;20220708101444;-19,874235;-43,909199;10648;0;1629;0;0;5700
105;20220708101446;-19,957683;-43,913819;11143;42;334;18;2;1733
105;20220708101450;-19,900707;-43,945603;40685;0;2354;0;0;10471
105;20220708101441;-19,960969;-43,995385;30432;18;5630;348;1;20120
105;20220708101446;-19,876581;-43,906220;20770;0;821;0;1;4928
105;20220708101459;-19,843002;-43,967261;40499;0;5559;206;1;20227
105;20220708101413;-19,994701;-44,024618;30884;0;240;0;1;38168
105;20220708101406;-19,873810;-43,909627;20951;0;2657;0;0;3865
105;20220708101444;-19,953035;-43,985386;31051;44;4018;219;1;31733
105;20220708101446;-19,927682;-43,911571;40882;13;10;195;1;774
105;20220708101446;-19,969377;-43,961368;30963;40;597;268;1;20188
105;20220708101442;-19,877896;-44,010519;11023;14;368;165;1;1026
105;20220708101412;-19,851797;-43,927758;20876;0;68;0;0;15245
105;20220708101442;-19,931174;-43,967326;30942;29;206;91;1;13321
105;20220708101437;-19,908446;-43,962592;40798;10;7121;67;1;10139
105;20220708101447;-19,916258;-43,952272;10780;46;550;287;1;22876
105;20220708101408;-19,963686;-43,963527;30577;0;952;0;0;1965
105;20220708101445;-19,876096;-43,939607;30970;0;599;0;2;17691
105;20220708101443;-19,943428;-43,983704;40740;31;908;193;1;22384
105;20220708101445;-19,876626;-43,905831;20769;0;746;0;1;9423
105;20220708101241;-19,945202;-43,989112;31055;0;66;0;0;2780
105;20220708101447;-19,851762;-43,927702;20670;0;69;0;0;14294
105;20220708101448;-19,904711;-43,932169;20538;0;5547;0;1;12640
105;20220708101438;-19,933744;-43,945792;20854;1;614;39;1;15997
105;20220708101445;-19,904457;-43,932288;30659;0;66;0;1;12565
105;20220708101445;-19,925552;-43,988416;40726;25;737;309;3;10967
105;20220708101443;-19,849697;-43,885766;20501;36;6039;59;1;6402
105;20220708101314;-19,858150;-43,929839;30987;0;66;0;2;3052
105;20220708101446;-19,804602;-43,973373;10689;38;516;296;1;979
105;20220708101444;-19,996168;-44,054417;30686;20;924;291;1;5347
105;20220708101413;-19,831996;-44,019247;10923;15;293;132;0;579
105;20220708101443;-19,932212;-43,937441;10849;28;7140;13;1;15957
105;20220708101447;-19,916685;-43,943088;11043;0;292;0;1;16470
105;20220708101309;-19,825958;-44,010390;20721;4;490;236;1;15023
105;20220708101418;-19,905824;-44,017127;40314;0;374;0;0;2811
105;20220708101444;-19,948244;-43,935630;40328;30;746;208;1;8501
105;20220708101443;-19,881309;-43,921069;20717;12;590;79;1;904
